Name,Category,Price,StockQuantity,LowStockThreshold,IsVisible,Description,ImageUrl
"Executive Leather Hardcover Notebook","Notebooks",19.99,60,10,true,"Premium 120gsm ivory ruled paper journal with dual ribbon markers and magnetic clasp","https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=600&auto=format&fit=crop"
"Vintage Fountain Pen - Matte Black","Writing",28.50,40,8,true,"Fine nib brass body fountain pen with smooth ink flow and converter included","https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=600&auto=format&fit=crop"
"Pastel Morandi Gel Pens (10-Pack)","Writing",11.99,120,15,true,"0.5mm quick-drying smudge-proof pastel color ink pens for study notes and journaling","https://images.unsplash.com/photo-1585336261026-7f4153b6d773?w=600&auto=format&fit=crop"
"Dual-Sided Leather Desk Mat","Desk Accessories",24.99,35,5,true,"Waterproof anti-slip extended mouse pad and writing blotter for modern workspaces","https://images.unsplash.com/photo-1586075010923-2dd4570fb338?w=600&auto=format&fit=crop"
"Pastel Sticky Notes Cube (600 Sheets)","Desk Accessories",7.49,150,20,true,"Color-coded removable adhesive notes for agile task boards and reminders","https://images.unsplash.com/photo-1586075010923-2dd4570fb338?w=600&auto=format&fit=crop"
"Heavy-Duty Desktop Tape Dispenser","Office Supplies",13.25,50,8,true,"Weighted non-skid base tape dispenser with sharp stainless steel cutting blade","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=600&auto=format&fit=crop"
"Artist Grade Watercolor Sketchbook A4","Art Supplies",22.99,45,6,true,"300gsm cold press 100% cotton acid-free paper for gouache, acrylics and sketching","https://images.unsplash.com/photo-1513364776144-60967b0f800f?w=600&auto=format&fit=crop"
"Dual-Tip Calligraphy Brush Pens (24 Set)","Art Supplies",32.50,55,10,true,"Flexible nylon brush tips and fine tips in rich blendable pigmented colors","https://images.unsplash.com/photo-1513364776144-60967b0f800f?w=600&auto=format&fit=crop"
"Precision Math & Geometry Tin Set","School Supplies",8.99,90,15,true,"Metal drafting compass, 180-degree protractor, set squares, and engraved ruler","https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=600&auto=format&fit=crop"
"Wax Seal Stamp & Melting Spoon Kit","Crafts",18.50,30,5,true,"Retro brass seal stamp with wooden handle, metallic wax beads, and tealight candle","https://images.unsplash.com/photo-1579783902614-a3fb3927b675?w=600&auto=format&fit=crop"
"Ergonomic Jam-Free Desktop Stapler","Office Supplies",14.99,70,12,true,"Reduced effort 25-sheet stapler with built-in staple remover and 1000 staples","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=600&auto=format&fit=crop"
"Metallic Binder Clips Assorted (60-Pack)","Office Supplies",6.50,110,20,true,"Tempered steel spring clips in rose gold, gold, and silver finishes","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=600&auto=format&fit=crop"
"Dot Grid Spiral Bullet Journal","Notebooks",15.75,85,12,true,"Thick 160gsm bleedproof dotted pages with elastic closure band and pen loop","https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=600&auto=format&fit=crop"
"Mechanical Drafting Pencil Set (0.5mm & 0.7mm)","Writing",16.99,65,10,true,"Full metal body drafting pencils with brass lead mechanism and HB lead refills","https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=600&auto=format&fit=crop"
"Clear Acrylic Pen & Marker Organizer","Desk Accessories",12.50,40,6,true,"Multi-slot transparent desk stand for pens, highlighters, scissors, and tools","https://images.unsplash.com/photo-1586075010923-2dd4570fb338?w=600&auto=format&fit=crop"
"Aesthetic Pastel Highlighters (6-Pack)","Writing",8.25,140,25,true,"Soft chisel tip non-bleed markers in calming aesthetic pastel tones","https://images.unsplash.com/photo-1585336261026-7f4153b6d773?w=600&auto=format&fit=crop"
"Washi Masking Tape Set (12 Rolls)","Crafts",10.99,75,15,true,"Decorative gold foil Japanese paper washi tape for scrapbooking and planners","https://images.unsplash.com/photo-1579783902614-a3fb3927b675?w=600&auto=format&fit=crop"
"Heavy-Duty Rotary Paper Trimmer (A4)","Office Supplies",27.90,20,4,true,"Self-sharpening rotary blade trimmer with grid lines and paper clamp","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=600&auto=format&fit=crop"
"Index Tab Sticky Flags (1200 Pcs)","Desk Accessories",5.99,200,30,true,"Waterproof writable translucent colored page markers for book indexing","https://images.unsplash.com/photo-1586075010923-2dd4570fb338?w=600&auto=format&fit=crop"
"Hardcover Undated Weekly Productivity Planner","Notebooks",21.00,50,8,true,"Goal-setting habit tracker layout with monthly review and priority matrix","https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=600&auto=format&fit=crop"
